TC#,Module,Category,Test Case,Steps,Expected Result,Priority,Raised By,Status
TC-001,Dashboard,KPI Cards,"Verify all 7 KPI cards are visible on Dashboard","1. Login to app
2. Navigate to /dashboard
3. Count KPI cards","Should show: Total Issues, Open Issues, In Progress, Overdue, Due This Week, Resolved, Reopened — all 7 in one row with compact sizing",Critical,Shumon Zaman,
TC-002,Dashboard,KPI Drill-down,"Click Total Issues KPI card navigates to All Issues","1. Go to /dashboard
2. Click 'Total Issues' card","Navigates to /issues showing ALL issues unfiltered. Count matches KPI number exactly",Critical,Shumon Zaman,
TC-003,Dashboard,KPI Drill-down,"Click Open Issues KPI card filters correctly","1. Go to /dashboard
2. Note Open Issues count
3. Click 'Open Issues' card","Navigates to /open-issues. Total displayed issues matches the KPI number shown on dashboard",Critical,Shumon Zaman,
TC-004,Dashboard,KPI Drill-down,"Click In Progress KPI card filters correctly","1. Go to /dashboard
2. Note In Progress count
3. Click card","Navigates to /issues?status=In+Progress. Issues shown all have status 'In Progress'. Count matches KPI",Critical,Shumon Zaman,
TC-005,Dashboard,KPI Drill-down,"Click Overdue KPI card filters correctly","1. Go to /dashboard
2. Note Overdue count
3. Click card","Navigates to /issues?overdue=true. All shown issues have DueDate < today AND status NOT Resolved/Closed",Critical,Shumon Zaman,
TC-006,Dashboard,KPI Drill-down,"Click Due This Week KPI card filters correctly","1. Go to /dashboard
2. Note Due This Week count
3. Click card","Navigates to /issues?dueThisWeek=true. All shown issues have DueDate within current week",Critical,Shumon Zaman,
TC-007,Dashboard,KPI Drill-down,"Click Resolved KPI card navigates to Resolved page","1. Go to /dashboard
2. Note Resolved count
3. Click card","Navigates to /resolved. Shows only Resolved/Closed issues. Count matches",Critical,Shumon Zaman,
TC-008,Dashboard,KPI Drill-down,"Click Reopened KPI card filters correctly","1. Go to /dashboard
2. Note Reopened count
3. Click card","Navigates to /issues?reopened=true. All shown issues have reopenCount > 0",Critical,Shumon Zaman,
TC-009,Dashboard,KPI Accuracy,"KPI numbers match actual database counts","1. Go to /dashboard
2. Note all 7 KPI values
3. Cross-check with DB: SELECT COUNT(*) with appropriate WHERE clauses","All 7 KPI numbers match database queries exactly",Critical,Shumon Zaman,
TC-010,Dashboard,Resolved Card,"Resolved card is present in dashboard KPI row","1. Go to /dashboard
2. Look for Resolved card in KPI strip","Resolved card exists showing count of Resolved+Closed issues. Card is clickable",Critical,Shumon Zaman,
TC-011,All Issues,Filter - Status,"Status filter shows correct count after selection","1. Go to /issues
2. Select 'Open' from status filter
3. Compare KPI card count with table rows","KPI card shows 11 Open → clicking Open filter shows exactly 11 issues in table. NOT 4 or any other number",Critical,Divya,
TC-012,All Issues,Filter - Status,"Each status filter option returns accurate results","1. Go to /issues
2. For each status (New/Open/In Progress/Resolved/Closed): select it and count results
3. Compare with unfiltered KPI","Filtered count always matches the KPI number for that status",Critical,Divya,
TC-013,All Issues,Filter - Process,"Process filter works with all 6 modules","1. Go to /issues
2. Select 'Services Module' from process filter","Shows only issues where ProcessId matches Services Module. Count is accurate",Critical,Divya / Venkatesan,
TC-014,All Issues,Filter - Process,"All 6 master processes appear in dropdown","1. Go to /issues
2. Open process filter dropdown","Shows: Sales Module, Services Module, Procurement Module, Logistics Module, Finance Module, Training and UAT. NO deactivated processes shown",Critical,Divya,
TC-015,All Issues,Filter - Severity,"Severity filter returns correct results","1. Go to /issues
2. Select each severity (Critical/High/Medium/Low) one by one","Filtered results match only issues with selected severity",High,Team,
TC-016,All Issues,Filter - Date Range,"Date range filter works correctly","1. Go to /issues
2. Set From date to 01-Mar-2026 and To date to 03-Mar-2026","Only issues with IssueDate within that range are shown",High,Team,
TC-017,All Issues,Filter - Combination,"Multiple filters work together","1. Go to /issues
2. Select status=Open AND process=Services Module AND severity=High","Results satisfy ALL filter conditions simultaneously",Critical,Team,
TC-018,All Issues,Filter - Clear,"Clear filters resets all selections","1. Apply multiple filters
2. Click Clear Filters","All filters reset. Full unfiltered list shown. KPI cards reset to global counts",High,Team,
TC-019,All Issues,KPI Card Click,"Clicking KPI cards on All Issues page filters table","1. Go to /issues
2. Click the 'Open' KPI card at top","Table filters to show only Open issues. Count matches KPI number",Critical,Sohail,
TC-020,All Issues,KPI Card Click,"All KPI cards on Issues page are clickable and filter correctly","1. Go to /issues
2. Click each KPI card one by one (New/In Progress/Critical/Overdue)","Each click filters the table. Clicking same card again removes the filter (toggle behavior)",Critical,Sohail,
TC-021,All Issues,Search,"Text search filters by title and description","1. Go to /issues
2. Type 'Job Card' in search bar","Only issues with 'Job Card' in title or description are shown",High,Team,
TC-022,All Issues,Pagination,"Pagination works with filters applied","1. Apply a filter that returns >10 results
2. Navigate to page 2
3. Verify filter is still active","Page 2 shows next set of filtered results. Filter not lost on page change",High,Team,
TC-023,All Issues,Pagination,"Page resets to 1 when filter changes","1. Go to page 3
2. Change status filter","Page resets to 1 with new filtered results",Medium,Team,
TC-024,All Issues,Sort,"Sort by due date works correctly","1. Go to /issues
2. Click Due Date column header","Issues sorted by due date ascending. Click again for descending",Medium,Team,
TC-025,All Issues,View Toggle,"Table and Card view toggle works","1. Go to /issues
2. Switch between Table and Card view","Both views show same filtered data. Toggle persists",Low,Team,
TC-026,All Issues,Export,"CSV export includes filtered results only","1. Apply a filter
2. Click Export","Downloaded CSV contains only filtered issues with correct headers",Medium,Team,
TC-027,Open Issues,Page Load,"Open Issues page shows only non-resolved issues","1. Navigate to /open-issues
2. Check all displayed issues","No issue with status Resolved or Closed should appear",Critical,Team,
TC-028,Open Issues,KPI Cards,"Open Issues KPI cards show accurate counts","1. Go to /open-issues
2. Verify KPI cards: New / In Progress / Critical / Overdue","Counts match database counts for non-resolved/closed issues only",Critical,Team,
TC-029,Open Issues,Resolve Action,"Resolve button on issue card works","1. Go to /open-issues
2. Click Resolve (green button) on an issue","Resolve dialog opens with all required fields",High,Team,
TC-030,Resolved,Page Load,"Resolved page shows only resolved/closed issues","1. Navigate to /resolved
2. Check all displayed issues","All issues have status Resolved or Closed",Critical,Team,
TC-031,Resolved,KPI Cards,"Resolved page KPI cards are accurate","1. Go to /resolved
2. Verify KPI cards","Shows: Total Resolved, Resolved, Closed, Was Reopened — all counts correct",High,Team,
TC-032,New Issue,Process Dropdown,"Process dropdown shows only active processes","1. Navigate to /issues/new
2. Open Process dropdown","Shows only active processes from MasterProcesses. Deactivated processes (p5-p11) NOT shown",Critical,Divya / Venkatesan,
TC-033,New Issue,Task Dropdown,"Task dropdown is dynamic based on selected process","1. Go to /issues/new
2. Select 'Services Module'
3. Check Task dropdown","Task dropdown shows only tasks linked to Services Module (t26-t46 etc). Changes when process changes",Critical,Venkatesan,
TC-034,New Issue,Dependent Processes,"Dependent processes exclude selected primary process","1. Go to /issues/new
2. Select 'Services Module' as Process
3. Check dependent process checkboxes","'Services Module' does NOT appear in dependent process list. Other active processes shown as checkboxes",Critical,Venkatesan,
TC-035,New Issue,Dependent Processes,"Dependent processes are dynamic from master data","1. Add a new process in Admin
2. Go to /issues/new
3. Check dependent process list","Newly added process appears in dependent checkboxes without any code change or redeployment",Critical,Venkatesan,
TC-036,New Issue,Required Fields,"All required fields are validated","1. Go to /issues/new
2. Click Submit with empty form","Validation errors shown for: Process, Task, Issue Date, Raised By, Title, Description, Severity, Assigned To",High,Team,
TC-037,New Issue,Users Dropdown,"Raised By and Assigned To show only active users","1. Go to /issues/new
2. Open Raised By / Assigned To dropdowns","Only active users from MasterUsers shown. Deactivated users NOT listed",High,Team,
TC-038,New Issue,Attachment Upload,"File attachments can be added to new issue","1. Go to /issues/new
2. Add an attachment via file upload
3. Submit issue","Issue created with attachment. Attachment visible in issue detail page",Medium,Team,
TC-039,New Issue,Submit Success,"New issue created successfully with all fields","1. Fill all fields including optional ones (Assigning Date, Due Date, Dependent Processes, Attachments)
2. Submit","Issue created. Success toast shown. Redirected to issue detail. All fields saved correctly",Critical,Team,
TC-040,Issue Detail,View,"Issue detail page shows all information","1. Click on any issue to open detail
2. Verify all fields displayed","Shows: title, ID, dates, status badge, severity badge, process, task, raised by, assigned to, description, attachments, reopen count",High,Team,
TC-041,Issue Detail,Edit,"Edit issue updates fields correctly","1. Open issue detail
2. Click Edit
3. Change title and severity
4. Save","Issue updated. Version incremented. Changes reflected in detail page",Critical,Venkatesan,
TC-042,Issue Detail,Edit Process/Task,"Can change process and task on existing issue","1. Open Issue #72
2. Click Edit
3. Change process from Procurement to Services Module
4. Save","Process and Task updated. This was requested by Venkatesan for Issue #72",Critical,Venkatesan,
TC-043,Issue Detail,Resolve,"Resolve issue with all resolution fields","1. Open an open issue
2. Click Resolve
3. Fill: Resolution Notes, Root Cause, Preventive Measures, Tested By, Verification Date, Dependent Process Test Results
4. Submit","Issue status changes to Resolved. Resolution details saved. Version history updated",Critical,Team,
TC-044,Issue Detail,Reopen,"Reopen a resolved issue","1. Open a resolved issue
2. Click Reopen
3. Enter reopen reason and new assigned to
4. Submit","Issue status changes back to open status. Reopen count incremented by 1. New version created",Critical,Team,
TC-045,Issue Detail,Version History,"Version history shows all changes","1. Edit an issue 3 times
2. Open version history","Shows all 3 versions with timestamps. Each version shows what changed (field diffs)",High,Team,
TC-046,Issue Detail,Delete,"Delete issue removes it","1. Open an issue
2. Click Delete
3. Confirm","Issue deleted. Redirected to issues list. Issue no longer appears",Medium,Team,
TC-047,Bulk Upload,Valid CSV,"Bulk upload with valid CSV creates all issues","1. Go to /issues
2. Click Bulk Upload
3. Upload a valid CSV with all required columns
4. Submit","All issues created successfully. Success count shown. Issue IDs listed",Critical,Divya,
TC-048,Bulk Upload,Missing Module,"Bulk upload shows error for missing Module/Process","1. Upload CSV where some rows have empty Module column","Error shown: 'Module is required' with row numbers (like SR#19, 64-70, 80)",Critical,Divya,
TC-049,Bulk Upload,Missing Date,"Bulk upload shows error for missing/invalid date","1. Upload CSV where some rows have empty or invalid dates","Error shown: 'A valid date is required (Raised On or Issue Date)' with row numbers",Critical,Divya,
TC-050,Bulk Upload,Missing Raised By,"Bulk upload shows error for missing Raised By","1. Upload CSV where Raised By is empty","Error shown: 'Raised By is required' with row number (like SR#80)",Critical,Divya,
TC-051,Bulk Upload,Unmapped Process,"Bulk upload handles unknown process names gracefully","1. Upload CSV with process names not in master (e.g. 'Operation Detail', 'Team Leader/Qc', 'VHC', 'Booking', 'Cost Clerks', 'Customers')","Either: creates with best match, OR clearly shows which rows failed and why. User can fix and re-upload",Critical,Divya,
TC-052,Bulk Upload,Per-Row Errors,"Error report shows specific row numbers and errors","1. Upload CSV with mixed valid/invalid rows","Summary shows: X imported / Y failed. Failed rows table shows Row# and specific error message for each",Critical,Divya,
TC-053,Bulk Upload,Template Download,"Download template CSV from bulk upload dialog","1. Open Bulk Upload dialog
2. Click Download Template","Downloads CSV with correct column headers matching expected format",High,Team,
TC-054,Bulk Upload,File Validation,"Only .csv files under 5MB accepted","1. Try uploading .xlsx file
2. Try uploading 10MB .csv file","Rejected with clear error: 'Only .csv files allowed' / 'File too large (max 5MB)'",High,Team,
TC-055,Bulk Upload,Drag and Drop,"Drag and drop file upload works","1. Open Bulk Upload dialog
2. Drag a .csv file onto the drop zone","File accepted. Preview shown with row count and column validation",Medium,Team,
TC-056,Master Data,Dynamic Processes,"New process added in admin appears everywhere without redeployment","1. Admin adds 'Logistics Module' in Admin > Processes
2. Go to /issues/new
3. Check Process dropdown and Dependent Process checkboxes","'Logistics Module' appears in both dropdowns and checkboxes immediately. No code change or server restart needed",Critical,Divya / Venkatesan,
TC-057,Master Data,Dynamic Tasks,"New task added in admin appears in Task dropdown","1. Admin adds 'Parts Master' task under Services Module
2. Go to /issues/new
3. Select Services Module
4. Check Task dropdown","'Parts Master' appears in Task dropdown immediately",Critical,Venkatesan,
TC-058,Master Data,Dynamic Statuses,"New status added in admin appears in filters","1. Admin adds a new status
2. Go to /issues
3. Check Status filter dropdown","New status appears in filter without redeployment",Critical,Team,
TC-059,Master Data,Dynamic Severities,"New severity added in admin appears in dropdowns","1. Admin adds a new severity
2. Go to /issues/new
3. Check Severity dropdown","New severity appears immediately",Critical,Team,
TC-060,Master Data,Deactivated Items Hidden,"Deactivated master data items hidden from user-facing dropdowns","1. Admin deactivates a process (e.g. p5-p11)
2. Go to /issues/new
3. Check Process dropdown","Deactivated processes NOT shown in dropdown. Still visible in Admin panel with 'Inactive' badge",Critical,Team,
TC-061,Master Data,Six Modules Visible,"All 6 confirmed modules visible in dropdowns","1. Go to /issues/new
2. Open Process dropdown","Shows exactly: Sales Module, Services Module, Procurement Module, Logistics Module, Finance Module, Training and UAT",Critical,Divya,
TC-062,Admin,Login,"Admin login with valid credentials","1. Go to /admin/login
2. Enter valid username/password
3. Submit","Logged in. Redirected to /admin dashboard",High,Team,
TC-063,Admin,Login Failed,"Admin login with wrong password shows error","1. Go to /admin/login
2. Enter wrong password
3. Submit","Error message shown. Not logged in",High,Team,
TC-064,Admin,Dashboard Stats,"Admin dashboard shows accurate statistics","1. Login to admin
2. Go to /admin dashboard
3. Compare stats with DB","Total Users, Active Users, Blocked Users, Total Issues, Open Issues, Overdue Issues — all match DB",High,Team,
TC-065,Admin,Dashboard Navigation,"Admin dashboard cards navigate to respective pages","1. Click 'Total Users' card","Navigates to /admin/users page",Medium,Team,
TC-066,Admin - Statuses,Create,"Create a new status","1. Go to Admin > Statuses
2. Click Add Status
3. Fill: Name, Label, TextColor, BgColor, ChartColor, DisplayOrder
4. Save","Status created. Appears in table. Available in user-facing dropdowns immediately",High,Team,
TC-067,Admin - Statuses,Edit,"Edit existing status","1. Click Edit on a status
2. Change label and colors
3. Save","Status updated. Changes reflected in issue badges across the app",High,Team,
TC-068,Admin - Statuses,Toggle,"Deactivate and reactivate a status","1. Click Deactivate on a status
2. Verify it shows Inactive
3. Reactivate it","Status toggles correctly. Inactive statuses hidden from user dropdowns",High,Team,
TC-069,Admin - Statuses,Bulk Actions,"Select multiple statuses and bulk deactivate","1. Select 3 statuses via checkboxes
2. Click Deactivate in bulk action bar","All 3 deactivated. Bulk action bar shows count correctly",Medium,Team,
TC-070,Admin - Statuses,CSV Import,"Import statuses from CSV","1. Click Import
2. Download template
3. Fill template with 2 new statuses
4. Upload","Preview shows 2 rows. Import succeeds. Both statuses created",Medium,Team,
TC-071,Admin - Statuses,CSV Export,"Export statuses to CSV","1. Click Export","CSV downloaded with all statuses including Name, Label, Colors, Order, Status",Low,Team,
TC-072,Admin - Severities,Create,"Create a new severity with color preview","1. Go to Admin > Severities
2. Add severity with TextColor=text-red-700 BgColor=bg-red-100
3. Save","Severity created. Preview badge shows correct colors in dialog and table",High,Team,
TC-073,Admin - Severities,CSV Import with Validation,"Import severities with invalid Tailwind classes","1. Upload CSV with row having TextColor='red' (not Tailwind class)","Validation error: 'TextColor must be a Tailwind text class'. Row rejected",Medium,Team,
TC-074,Admin - Processes,Create,"Create a new process with auto-generated display order","1. Go to Admin > Processes
2. Click Add Process
3. Enter Id=p10, Name=New Module, Description=Test","Process created. No DisplayOrder field needed (auto-assigned). Appears in user dropdowns",High,Team,
TC-075,Admin - Processes,ID Validation,"Process ID must be unique and 2-10 chars","1. Try creating process with Id='p' (too short)
2. Try creating with existing Id","Validation errors shown for both cases",Medium,Team,
TC-076,Admin - Tasks,Create,"Create a new task under a process","1. Go to Admin > Tasks
2. Click Add Task
3. Enter Name='Parts Master', ProcessId=Services Module
4. Save","Task created under Services Module. Available in Task dropdown when Services Module selected",Critical,Venkatesan,
TC-077,Admin - Tasks,Process Link,"Task shows correct process badge in table","1. Go to Admin > Tasks
2. Look at process column for each task","Each task shows its parent process as a badge. Process name is correct",Medium,Team,
TC-078,Admin - Users,Search,"Search bar filters users by name/email/ID","1. Go to Admin > Users
2. Type 'Vivek' in search bar","Only users matching 'Vivek' in name/email/id shown. Others hidden",High,Team,
TC-079,Admin - Users,Pagination,"Users table pagination works correctly","1. Add >10 users
2. Check pagination controls","Shows 10 per page. Page numbers, prev/next buttons work. 'Showing X-Y of Z' is accurate",High,Team,
TC-080,Admin - Users,Create,"Create a new user manually","1. Go to Admin > Users
2. Click Add User
3. Enter Emp ID, Name, Email
4. Set permissions
5. Save","User created with permissions. Can login to app. No DisplayOrder field shown",High,Team,
TC-081,Admin - Users,Add from Intranet,"Search and add user from intranet","1. Click 'Add from Intranet'
2. Type employee name (min 2 chars)
3. Click Add on a result","Employee added to system. Shows in users table. 'Added' badge shown for already-added employees",High,Team,
TC-082,Admin - Users,Edit Permissions,"Edit user permissions","1. Click Edit on a user
2. Toggle permissions (canCreateIssue, canEditIssue, etc.)
3. Save","Permissions saved. User's access changes immediately on next page load",Critical,Team,
TC-083,Admin - Users,Block User,"Block a user","1. Edit a user
2. Check 'Block User' checkbox (destructive red styling)
3. Save","User blocked. Shows destructive red border. User cannot access app — gets 'blocked' message on login",Critical,Team,
TC-084,Admin - Users,Login As User,"Enter app as a specific user","1. Click Login icon on a user row
2. App opens in new tab","New tab opens with /dashboard logged in as that user. Permissions match that user's settings",High,Team,
TC-085,Admin - Users,Audit Info,"Edit dialog shows audit information","1. Click Edit on a user
2. Scroll to Audit Info section","Shows: Created date (dd MMM yyyy), Last Login (relative time like '2 hours ago'), Issues Raised count",High,Team,
TC-086,Admin - Users,Deactivate,"Deactivate a user","1. Edit a user
2. Click Deactivate button","User deactivated. Row shows faded/opacity. Inactive badge shown. User hidden from Raised By/Assigned To dropdowns",High,Team,
TC-087,Admin - Users,Export,"Export users CSV","1. Click Export","CSV with headers: Emp ID, Name, Email, Status. All users included",Low,Team,
TC-088,Admin - Users,Emp ID Column,"Users table shows 'Emp ID' not 'ID'","1. Go to Admin > Users
2. Check table header","First column header says 'Emp ID' not 'ID'",Medium,Team,
TC-089,Auth,Token Login,"EDP token verification works","1. Access app with ?auth=<valid_token>","Token verified against Intranet DB. User logged in. Session created. Last login timestamp updated",Critical,Team,
TC-090,Auth,Blocked User,"Blocked user cannot access app","1. Block user in admin
2. Try accessing app with that user's token","Shows 'Your account has been blocked. Contact admin.' message. No access granted",Critical,Team,
TC-091,Auth,Unregistered User,"Non-registered user gets proper error","1. Try accessing with a token for user not in MasterUsers","Shows 'Access denied. Your account has not been registered. Contact admin.'",Critical,Team,
TC-092,Auth,Session Persistence,"Session persists across page refreshes","1. Login successfully
2. Refresh the page","User remains logged in. Session token still valid",High,Team,
TC-093,Auth,Permission - Create Issue,"User without canCreateIssue cannot create issues","1. Set user's canCreateIssue=false in admin
2. Login as that user
3. Try to create issue","Create issue button/option hidden or disabled. API returns 403 if attempted directly",Critical,Team,
TC-094,Auth,Permission - Edit Issue,"User without canEditIssue cannot edit issues","1. Set canEditIssue=false
2. Login
3. Open an issue detail","Edit button not visible",Critical,Team,
TC-095,Auth,Permission - Resolve,"User without canResolveIssue cannot resolve","1. Set canResolveIssue=false
2. Login
3. Open an open issue","Resolve button not visible",Critical,Team,
TC-096,Auth,Permission - Bulk Upload,"User without canBulkUpload cannot bulk upload","1. Set canBulkUpload=false
2. Login
3. Go to issues page","Bulk Upload button not visible",High,Team,
TC-097,Auth,Permission - Admin,"User without canAccessAdmin cannot access admin","1. Set canAccessAdmin=false
2. Try navigating to /admin","Redirected to login or shown unauthorized. No admin menu visible",Critical,Team,
TC-098,Auth,Last Login Stamp,"Last login timestamp is updated on login","1. Note current LastLoginAt in DB
2. Login via token
3. Check DB again","LastLoginAt updated to current time",Medium,Team,
TC-099,UI,Dark Mode Toggle,"Dark mode toggle works in admin header","1. Go to admin portal
2. Click moon/sun icon in header","Theme toggles between light and dark. Persists on page refresh (localStorage)",Medium,Team,
TC-100,UI,Light Mode Header,"Admin header is off-white in light mode","1. Switch to light mode
2. Check admin header","Header background is off-white/muted (not dark navy). Contrasts with white content area. Dark mode header remains dark",Medium,Team,
TC-101,UI,Sidebar Navigation,"Admin sidebar navigates correctly","1. Click each sidebar item: Dashboard, Statuses, Severities, Processes, Tasks, Users","Each navigates to correct page. Active item highlighted with gold bar",Low,Team,
TC-102,UI,Mobile Responsive,"Admin pages work on mobile","1. Open admin on mobile device or resize browser","Sidebar collapses to hamburger menu. Tables scroll horizontally. Dialogs fit screen",Low,Team,
TC-103,UI,Table Row Actions,"Action buttons appear on row hover","1. Hover over a table row in any admin page","Edit/Toggle buttons fade in (opacity 0→100). Semantic hover colors (red for deactivate, green for activate)",Low,Team,
TC-104,Data Integrity,Process Rename,"Renamed process shows updated name everywhere","1. Rename 'Aftersales Module' to 'Services Module' in admin
2. Check: issue detail pages, filters, dropdowns, dependent processes","All references show new name 'Services Module'. No stale 'Aftersales' anywhere",Critical,Divya,
TC-105,Data Integrity,Issue Process Update,"Issue process/task can be corrected after creation","1. Open Issue #72 (currently under Procurement)
2. Edit → Change process to Services Module
3. Save","Process updated. Issue now shows under Services Module in filters and detail view",Critical,Venkatesan,
TC-106,Data Integrity,Deactivated Process Issues,"Issues under deactivated process still visible","1. Deactivate a process that has existing issues
2. Go to /issues
3. Check those issues","Issues still visible in list. Process name still displayed. Just can't create NEW issues under deactivated process",High,Team,
TC-107,Data Integrity,Version Tracking,"Every edit creates a new version","1. Edit an issue 5 times
2. Check version history","5 versions created. Each shows timestamp, changed fields (from→to), and modifier",High,Team,
TC-108,Data Integrity,Reopen Count,"Reopen count increments correctly","1. Resolve an issue
2. Reopen it
3. Check detail page","Reopen count shows 1. Resolve and reopen again → shows 2",High,Team,
TC-109,Admin CSV Import,Statuses Template,"Status CSV import template has correct columns","1. Go to Admin > Statuses
2. Click Import
3. Click Download Template","CSV template has: Name, Label, TextColor, BgColor, ChartColor, DisplayOrder",Medium,Team,
TC-110,Admin CSV Import,Severities Template,"Severity CSV import template has correct columns","1. Go to Admin > Severities
2. Click Import → Download Template","CSV template has: Name, Label, TextColor, BgColor, DisplayOrder",Medium,Team,
TC-111,Admin CSV Import,Processes Template,"Process CSV import template has correct columns","1. Go to Admin > Processes
2. Click Import → Download Template","CSV template has: Id, Name, Description, DisplayOrder",Medium,Team,
TC-112,Admin CSV Import,Tasks Template,"Task CSV import template has correct columns","1. Go to Admin > Tasks
2. Click Import → Download Template","CSV template has: Name, ProcessId",Medium,Team,
TC-113,Admin CSV Import,Validation Errors,"CSV import shows validation errors per row","1. Upload CSV with some invalid rows (e.g. missing name, invalid ID)","Preview shows: green check for valid rows, amber warning for invalid. Error details shown",High,Team,
TC-114,Admin CSV Import,Duplicate Prevention,"CSV import handles duplicates gracefully","1. Import a CSV with process ID that already exists","Error shown for duplicate row. Other valid rows still imported",Medium,Team,
TC-115,Admin CSV Import,Success Summary,"Import shows summary after completion","1. Upload valid CSV with 5 rows
2. Complete import","Summary: Total Rows=5, Imported=5, Skipped=0. Green success indicators",Medium,Team,
TC-116,No Redeployment,New Process Flow,"Adding new process end-to-end without redeployment","1. Admin adds 'Training and UAT' in Admin > Processes
2. User goes to /issues/new → sees 'Training and UAT' in dropdown
3. User creates issue under 'Training and UAT'
4. User checks /issues → 'Training and UAT' appears in process filter
5. Dashboard shows issue in correct process","Entire flow works without any server restart or code change",Critical,Divya,
TC-117,No Redeployment,New Task Flow,"Adding new task end-to-end without redeployment","1. Admin adds 'Parts Master' under Services Module in Admin > Tasks
2. User goes to /issues/new → selects Services Module → sees 'Parts Master' in Task dropdown
3. Creates issue with that task
4. Issue detail shows 'Parts Master' as task","No redeployment needed",Critical,Venkatesan,
TC-118,No Redeployment,New User Flow,"Adding new user end-to-end without redeployment","1. Admin adds user from intranet
2. New user accesses app via EDP portal
3. User can create issues, appears in dropdowns","No redeployment needed",Critical,Team,
TC-119,No Redeployment,Status Change,"Adding/modifying status reflects immediately","1. Admin changes 'Open' status label to 'Active'
2. User refreshes issues page","All 'Open' badges now show 'Active'. Filter dropdown shows 'Active'",Critical,Team,
TC-120,No Redeployment,Severity Change,"Adding/modifying severity reflects immediately","1. Admin adds 'Urgent' severity with red colors
2. User creates new issue → 'Urgent' available in severity dropdown","Works immediately without deployment",Critical,Team,
TC-121,Edge Case,Empty Dashboard,"Dashboard with zero issues","1. New installation with no issues
2. Go to dashboard","All KPI cards show 0. Charts show empty state. No errors thrown",Medium,Team,
TC-122,Edge Case,Long Issue Title,"Issue title with 500 characters","1. Create issue with exactly 500 char title
2. Try 501 chars","500 accepted. 501 rejected or truncated. Title displays properly in table (truncated with ellipsis)",Low,Team,
TC-123,Edge Case,Special Characters,"Issue title/description with special chars","1. Create issue with title: Test <script>alert('xss')</script>
2. View issue detail","HTML escaped. No script execution. Text displayed as-is",High,Team,
TC-124,Edge Case,Concurrent Users,"Multiple users working simultaneously","1. User A and User B both logged in
2. User A creates issue
3. User B refreshes list","User B sees new issue after refresh. No data corruption",Medium,Team,
TC-125,Edge Case,Session Expiry,"Expired session handled gracefully","1. Login
2. Wait for session to expire (or manually clear sessionStorage)
3. Try any action","Redirected to login. No error page. Clear message to re-authenticate",High,Team,
